_class,id,headline,title,url,avg_rating
course,719318,A collection of AutoCAD practice drawings and projects,AutoCAD 2D and 3D practice drawings,/course/autocad-2d-and-3d-practice-drawings/,4.4852943
course,4157784,"Learn the basics of Social Media Marketing, SEO, SEM, Facebook Marketing & more.",Digital Marketing Essentials Masterclass,/course/digital-marketing-101-complete-digital-marketing-course/,4.4516907
course,4650144,"Prepare for your next programming interview, no matter the language or tech stack. Examples in C#.",Get Ready for Coding Interview,/course/get-ready-for-coding-interview/,4.8095236
course,605006,"Learn the basics of ethical hacking, penetration testing, web testing and wifi hacking in kali linux!","Start Kali Linux, Ethical Hacking and Penetration Testing!",/course/ethical-hacker/,4.298077
course,2023700,"Updated to Angular 14: A quick introduction to the Angular framework, focusing on its most commonly used parts",Angular for Beginners Course (includes FREE E-Book),/course/angular-for-beginners-course/,4.4385967
course,85450,Learn the basics of Oracle SQL with these easy-to-follow Oracle SQL lessons and examples.,Oracle SQL - A Complete Introduction,/course/introduction-to-oracle-sql/,4.5405407
course,2880294,"Growth Mindset, Psychology & Mental Health to Find Opportunity in the Crisis & Cope with Fear, Worry, Anxiety & Stress",Mental Health for Coping with Stress & Anxiety (Coronavirus),/course/mental-health-for-coping-with-stress-anxiety-covid-19/,4.6015625
course,5390470,"Generate Text, Images, Audio & Video: ChatGPT, Stable Diffusion, DALL-E 2, Midjourney, GPT-4, AutoGPT Unleashed in 2023!",Generative AI: ChatGPT & 25 Game-Changing AI Apps- 2023,/course/chatgpt-generative-ai-model2023/,4.5761905
course,1094032,Business Intelligence and data is here to stay. Get your Orientation to Self Service BI with Power BI,Power BI - The Ultimate Orientation,/course/power-bi-the-ultimate-orientation/,4.35
course,1506978,You will improve your spoken English in just 2 weeks!,14-day English language fluency course,/course/14-day-english-language-fluency-course/,4.6348314
course,1645344,"Join David and Harness the Power of the Breath to Clear Mental Fog, Overcome Depression, and Access Inspiration",Breath Secrets : 7 Day Challenge,/course/breath-secrets-7-day-challenge/,4.6875
course,217000,"Don't just be a good programmer, become a great one, because that is what matters.",Learn to Program in Javascript: Beginner to Pro,/course/programming-in-javascript/,4.4823527
